"ID","station_id","base_power","mwh_per_year","water_turbine_type","reservoir_id","reservoir_name","hydro_type","max_head","min_head"
"96","01113308000123","0.630000","10.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"97","01113308000124","1.260000","15.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"98","01113308000125","1.200000","70.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"99","01113308000126","0.650000","140.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"100","01113308000127","0.160000","80.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"101","01113308000128","0.400000","40.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"102","01113308000129","1.250000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"103","01113308000130","2.500000","60.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"104","01113308000131","1.600000","62.000000","NULL","900233000000000001","紧水滩水库","NULL","NULL","NULL"
"105","01113308000132","0.800000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"106","01113308000133","0.630000","10.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"107","01113308000134","1.260000","15.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"108","01113308000135","1.200000","70.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"109","01113308000136","0.650000","140.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"110","01113308000137","0.160000","80.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"111","01113308000138","0.400000","40.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"112","01113308000139","0.800000","35.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"113","01113308000140","0.630000","60.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"114","01113308000141","1.600000","62.000000","轴流式","900233000000000001","紧水滩水库","径流式","NULL","NULL"
"115","01113308810013","0.400000","24.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"116","01113308810016","0.300000","18.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"117","01113308810017","0.800000","48.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"118","01113308810019","0.400000","24.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"119","01113308810020","0.350000","21.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
"120","01113308810023","0.100000","6.000000","混流式","900233030000000002","水库","径流式","NULL","NULL"
